g++ -o sim2 sim2.cc
./sim2
p,usage rate, idle rate
Arrival,3.94301e-05, 0.00084899
Arrival,4.18825e-05, 0.00285031
Arrival,7.21588e-05, 0.00507327
Arrival,8.96758e-05, dropped
Arrival,9.33035e-05, dropped
Arrival,0.000104432, dropped
Arrival,0.000234809, dropped
Arrival,0.000368293, dropped
Arrival,0.000483509, dropped
Arrival,0.000598, dropped
Arrival,0.000692426, dropped
Arrival,0.000739671, dropped
Arrival,0.000768324, dropped
Arrival,0.000872333, 0.00534678
Arrival,0.000947215, 0.00553413
Arrival,0.000957885, 0.00575672
Arrival,0.00113656, 0.00631083
Arrival,0.00125413, 0.00641201
Arrival,0.00125824, 0.00734563
Arrival,0.00157956, 0.00833802
Arrival,0.00161605, 0.011348
Arrival,0.00171585, 0.0126546
Arrival,0.00189745, 0.0133498
Arrival,0.00200095, 0.0216015
Arrival,0.00213521, 0.0228426
Arrival,0.00214265, 0.0287175
Arrival,0.00218362, 0.0300393
Arrival,0.00254928, 0.0308399
Arrival,0.00255925, 0.0336828
Arrival,0.00269267, 0.0344093
Arrival,0.00272102, 0.0395941
Arrival,0.00272671, 0.0408167
Arrival,0.00275349, 0.0448197
Arrival,0.00277214, 0.046062
Arrival,0.00278097, 0.0462828
Arrival,0.00291631, 0.0463684
Arrival,0.00299807, 0.048781
Arrival,0.00301243, 0.0491466
Arrival,0.00310178, 0.0503246
Arrival,0.00314285, 0.0522455
Arrival,0.00337424, 0.0532287
Arrival,0.00338196, 0.0589636
Arrival,0.00349669, 0.0639548
Arrival,0.00365279, 0.0640201
Arrival,0.00367396, 0.0651238
Arrival,0.00372212, 0.0651976
Arrival,0.00388848, 0.0678909
Arrival,0.00403411, 0.0682496
Arrival,0.00413931, 0.0741805
Arrival,0.00445614, 0.0769749
Arrival,0.00465265, 0.0786923
Arrival,0.00509028, 0.0796175
Arrival,0.00529504, 0.0821959
Arrival,0.00534115, 0.08278
Arrival,0.00534943, 0.0845012
Arrival,0.00553649, 0.0888624
Arrival,0.00578367, 0.0903218
Arrival,0.00601036, 0.0934072
Arrival,0.00602735, 0.0959628
Arrival,0.00614149, 0.0959854
Arrival,0.00616578, 0.0971787
Arrival,0.00626873, 0.0971913
Arrival,0.0067832, 0.0982395
Arrival,0.00703493, 0.0992512
Arrival,0.00733924, 0.10262
Arrival,0.00734045, 0.105852
Arrival,0.00746162, 0.106043
Arrival,0.00765255, 0.107156
Arrival,0.00814873, 0.108073
Arrival,0.00853676, 0.109491
Arrival,0.00871168, 0.110222
Arrival,0.00880506, 0.110239
Arrival,0.00961706, 0.11468
Arrival,0.0100864, 0.115384
Arrival,0.0102119, 0.117414
Arrival,0.0102819, 0.11998
Arrival,0.0104993, 0.121874
Arrival,0.0114524, 0.122369
Arrival,0.0117115, 0.125593
Arrival,0.0117866, 0.126653
Arrival,0.0118472, 0.127442
Arrival,0.0123231, 0.129091
Arrival,0.0123776, 0.133154
Arrival,0.0125252, 0.133978
Arrival,0.0136875, 0.140172
Arrival,0.014157, 0.140445
Arrival,0.0141994, 0.140562
Arrival,0.0142489, 0.142809
Arrival,0.0142734, 0.143652
Arrival,0.0146917, 0.147167
Arrival,0.0148883, 0.147825
Arrival,0.0155443, 0.151102
Arrival,0.0162602, 0.157725
Arrival,0.0179527, 0.160375
Arrival,0.0179856, 0.161993
Arrival,0.0190491, 0.163693
Arrival,0.0204131, 0.165035
Arrival,0.0242298, 0.165991
Arrival,0.0247275, 0.168639
Arrival,0.0249191, 0.17131
Arrival,0.0253457, 0.17335
Arrival,0.0263177, 0.176851
Arrival,0.0276568, 0.177391
Arrival,0.0319416, 0.182668
Arrival,0.0376738, 0.184032
rm sim2
